Country/Region,Cars,Commercial Vehicles,Total,Change,Year
Argentina,"380,067","132,857","512,924",-14.10%,2009
Australia,"188,158","39,125","227,283",-31.00%,2009
Austria,"56,620","15,714","72,334",-52.20%,2009
Belgium,"524,595","12,510","537,354",-25.80%,2009
Brazil,"2,575,418","607,505","3,182,923",-1.00%,2009
Canada,"822,267","668,215","1,490,482",-28.40%,2009
China,"10,383,831","3,407,163","13,790,994",48.30%,2009
Czech Rep.,"976,435","6,810","983,243",3.90%,2009
Egypt,"60,249","32,090","92,339",-23.00%,2009
Finland,"10,907",64,"10,971",-38.70%,2009
France,"1,819,497","228,196","2,047,693",-20.30%,2009
Germany,"4,964,523","245,334","5,209,857",-13.80%,2009
Hungary,"212,773","1,770","214,543",-38.00%,2009
India,"2,175,220","466,330","2,641,550",13.30%,2009
Indonesia,"352,172","112,644","464,816",-22.60%,2009
Iran,"1,170,503","223,572","1,394,075",9.40%,2009
Italy,"661,100","182,139","843,239",-17.60%,2009
Japan,"6,862,161","1,071,896","7,934,057",-31.50%,2009
Malaysia,"447,002","42,267","489,269",-7.80%,2009
Mexico,"942,876","618,176","1,561,052",-28.00%,2009
Netherlands,"50,620","26,131","76,751",-42.10%,2009
Poland,"818,800","60,198","878,998",-7.70%,2009
Portugal,"101,680","24,335","126,015",-28.10%,2009
Romania,"279,320","17,178","296,498",20.90%,2009
Russia,"599,265","125,747","725,012",-59.50%,2009
Serbia,"16,337",401,"16,738",43.90%,2009
Slovakia,"461,340",0,"461,340",-19.90%,2009
Slovenia,"202,570","10,179","212,749",7.50%,2009
South Africa,"222,981","150,942","373,923",-33.60%,2009
South Korea,"3,158,417","354,509","3,512,926",-8.20%,2009
Spain,"1,812,688","357,390","2,170,078",-14.60%,2009
Sweden,"128,738","27,698","156,436",-49.30%,2009
Taiwan,"183,986","42,370","226,356",23.70%,2009
Thailand,"313,442","685,936","999,378",-28.30%,2009
Turkey,"510,931","358,674","869,605",-24.20%,2009
Ukraine,"65,646","3,649","69,295",-83.60%,2009
UK,"999,460","90,679","1,090,139",-33.90%,2009
USA,"2,195,588","3,513,843","5,709,431",-34.30%,2009
Uzbekistan,"110,200","7,700","117,900",-43.30%,2009
Others,"302,354","105,010","407,364",-23.40%,2009
Argentina,"399,236","197,509","596,745",9.60%,2008
Australia,"285,590","43,966","329,556",-1.50%,2008
Austria,"125,836","25,441","151,277",-33.70%,2008
Belgium,"680,131","44,367","724,498",-13.20%,2008
Brazil,"2,545,729","670,247","3,215,976",8.00%,2008
Canada,"1,195,436","886,805","2,082,241",-19.30%,2008
China,"6,737,745","2,561,435","9,299,180",4.70%,2008
Czech Rep.,"934,046","12,521","946,567",1.00%,2008
Egypt,"77,563","42,297","119,860",14.70%,2008
Finland,"17,519",376,"17,895",-26.40%,2008
France,"2,145,935","423,043","2,568,978",-14.80%,2008
Germany,"5,532,030","513,700","6,045,730",-2.70%,2008
Hungary,"342,359","3,696","346,055",18.50%,2008
India,"1,846,051","486,277","2,332,328",3.50%,2008
Indonesia,"431,423","169,205","600,628",45.90%,2008
Iran,"1,048,307","225,474","1,273,781",27.70%,2008
Italy,"659,221","364,553","1,023,774",-20.30%,2008
Japan,"9,928,143","1,647,501","11,575,644",-0.20%,2008
Malaysia,"484,512","46,298","530,810",20.20%,2008
Mexico,"1,217,458","950,486","2,167,944",3.50%,2008
Netherlands,"59,223","73,271","132,494",-4.40%,2008
Poland,"842,000","110,840","952,840",20.20%,2008
Portugal,"132,242","42,913","175,155",-0.60%,2008
Romania,"231,056","14,252","245,308",1.50%,2008
Russia,"1,469,429","320,872","1,790,301",7.80%,2008
Serbia,"9,818","1,810","11,628",17.40%,2008
Slovakia,"575,776",0,"575,776",0.80%,2008
Slovenia,"180,233","17,610","197,843",-0.30%,2008
South Africa,"321,124","241,841","562,965",5.30%,2008
South Korea,"3,450,478","376,204","3,826,682",-6.80%,2008
Spain,"1,943,049","598,595","2,541,644",-12.00%,2008
Sweden,"252,287","56,012","308,299",-15.80%,2008
Taiwan,"138,714","44,260","182,974",-35.40%,2008
Thailand,"401,309","992,433","1,393,742",8.30%,2008
Turkey,"621,567","525,543","1,147,110",4.30%,2008
Ukraine,"400,799","22,328","423,127",5.10%,2008
UK,"1,446,619","202,896","1,649,515",-5.80%,2008
USA,"3,776,641","4,895,500","8,672,141",-19.60%,2008
Uzbekistan,"195,038","13,000","208,038",12.50%,2008
Supplementary,"365,165","162,469","527,634",-11.80%,2008
Argentina,"350,735","193,912","544,647",26.00%,2007
Australia,"283,348","51,269","334,617",0.90%,2007
Austria,"199,969","28,097","228,066",-17.00%,2007
Belgium,"789,674","44,729","834,403",-9.10%,2007
Brazil,"2,391,354","585,796","2,977,150",14.80%,2007
Canada,"1,342,133","1,236,657","2,578,790",0.30%,2007
China,"6,381,116","2,501,340","8,882,456",22.00%,2007
Czech Rep.,"925,060","13,588","938,648",9.80%,2007
Egypt,"68,934","35,539","104,473",14.20%,2007
Finland,"24,000",303,"24,303",-25.80%,2007
France,"2,550,869","464,985","3,015,854",-4.80%,2007
Germany,"5,709,139","504,321","6,213,460",6.80%,2007
Hungary,"287,982","4,045","292,027",53.50%,2007
India,"1,713,479","540,250","2,253,729",11.60%,2007
Indonesia,"309,208","102,430","411,638",38.60%,2007
Iran,"882,000","115,240","997,240",10.30%,2007
Italy,"910,860","373,452","1,284,312",6.00%,2007
Japan,"9,944,637","1,651,690","11,596,327",1.00%,2007
Malaysia,"347,971","93,690","441,661",-12.20%,2007
Mexico,"1,209,097","886,148","2,095,245",2.40%,2007
Netherlands,"61,912","76,656","138,568",-13.10%,2007
Poland,"695,000","97,703","792,703",10.90%,2007
Portugal,"134,047","42,195","176,242",-22.50%,2007
Romania,"234,103","7,609","241,712",13.20%,2007
Russia,"1,288,652","371,468","1,660,120",10.40%,2007
Serbia,"8,236","1,667","9,903",-11.40%,2007
Slovakia,"571,071",0,"571,071",93.30%,2007
Slovenia,"174,209","24,193","198,402",29.60%,2007
South Africa,"276,018","258,472","534,490",-9.10%,2007
South Korea,"3,723,482","362,826","4,086,308",6.40%,2007
Spain,"2,195,780","693,923","2,889,703",4.00%,2007
Sweden,"316,850","49,170","366,020",9.90%,2007
Taiwan,"212,685","70,354","283,039",-6.70%,2007
Thailand,"315,444","971,902","1,287,346",7.80%,2007
Turkey,"634,883","464,530","1,099,413",11.30%,2007
Ukraine,"380,061","22,530","402,591",39.70%,2007
UK,"1,534,567","215,686","1,750,253",6.10%,2007
USA,"3,924,268","6,856,461","10,780,729",-4.50%,2007
Uzbekistan,"170,000","14,900","184,900",68.10%,2007
Others,"420,770","282,019",702789,32.20%,2007
Argentina,"263,120","168,981","432,101","35,1%",2006
Australia,"270,000","60,900","330,900","-16,2%",2006
Austria,"248,059","26,873","274,932","8,6%",2006
Belgium,"881,929","36,127","918,056","-1,2%",2006
Brazil,"2,092,029","519,005","2,611,034","3,3%",2006
Canada,"1,389,536","1,182,756","2,572,292","-4,3%",2006
China,"5,233,132","1,955,576","7,188,708","25,9%",2006
Czech Rep.,"848,922","5,985","854,907","41,3%",2006
Egypt,"59,462","32,056","91,518","41,8%",2006
Finland,"32,417",353,"32,770","51,4%",2006
France,"2,723,196","446,023","3,169,219","-10,7%",2006
Germany,"5,398,508","421,106","5,819,614","1,1%",2006
Hungary,"187,633","3,190","190,823","25,5%",2006
India,"1,473,000","546,808","2,019,808","24,2%",2006
Indonesia,"256,285","40,777","297,062","-40,7%",2006
Iran,"800,000","104,500","904,500","10,7%",2006
Italy,"892,502","319,092","1,211,594","16,7%",2006
Japan,"9,756,515","1,727,718","11,484,233","6,3%",2006
Malaysia,"377,952","125,021","502,973","-10,8%",2006
Mexico,"1,097,619","947,899","2,045,518","22,4%",2006
Netherlands,"87,332","72,122","159,454","-11,8%",2006
Poland,"632,300","82,300","714,600","14,2%",2006
Portugal,"143,478","83,847","227,325","3,7%",2006
Romania,"201,663","11,934","213,597","9,6%",2006
Russia,"1,177,918","330,440","1,508,358","11,6%",2006
Serbia,"9,832","1,350","11,182","-21,1%",2006
Slovakia,"295,391",0,"295,391","35,3%",2006
Slovenia,"115,000","35,320","150,320","-15,5%",2006
South Africa,"334,482","253,237","587,719","11,9%",2006
South Korea,"3,489,136","350,966","3,840,102","3,8%",2006
Spain,"2,078,639","698,796","2,777,435","0,9%",2006
Sweden,"288,583","44,585","333,168","-1,6%",2006
Taiwan,"211,306","91,915","303,221","-32,1%",2006
Thailand,"298,819","895,607","1,194,426","6,1%",2006
Turkey,"545,682","442,098","987,780","12,4%",2006
Ukraine,"274,860","20,400","295,260","36,8%",2006
UK,"1,442,085","206,303","1,648,388","-8,6%",2006
USA,"4,366,220","6,897,766","11,263,986","-6,0%",2006
Uzbekistan,"100,000","10,000","110,000","14,8%",2006
Others,"376,110","155,496","531,606",2.30%,2006
Argentina,"182,761","136,994","319,755",22.80%,2005
Australia,"316,414","78,299","394,713",-4.10%,2005
Austria,"230,505","22,774","253,279",1.80%,2005
Belgium,"895,109","31,406","926,515",2.90%,2005
Brazil,"2,011,817","519,023","2,530,840",9.20%,2005
Canada,"1,356,271","1,331,621","2,687,892",-0.90%,2005
China,"3,941,767","1,775,852","5,717,619",9.20%,2005
Czech Rep.,"596,774","5,463","602,237",34.30%,2005
Egypt,"43,638","20,911","64,549",30.80%,2005
Finland,"21,233",411,"21,644",105.90%,2005
France,"3,112,961","436,047","3,549,008",-3.20%,2005
Germany,"5,350,187","407,523","5,757,710",3.40%,2005
Hungary,"148,533","3,482","152,015",23.90%,2005
India,"1,264,111","374,563","1,638,674",8.40%,2005
Indonesia,"332,590","168,120","500,710",22.60%,2005
Iran,"923,800","153,390","1,077,190",36.60%,2005
Italy,"725,528","312,824","1,038,352",-9.10%,2005
Japan,"9,016,735","1,782,924","10,799,659",2.70%,2005
Malaysia,"404,571","158,837","563,408",19.40%,2005
Mexico,"846,048","838,190","1,684,238",6.80%,2005
Netherlands,"115,121","65,627","180,748",-27.00%,2005
Poland,"540,100","73,100","613,200",2.00%,2005
Portugal,"137,602","83,458","221,060",-2.50%,2005
Romania,"174,538","20,644","194,802",59.40%,2005
Russia,"1,068,511","285,993","1,354,504",-2.30%,2005
Serbia,"12,574","1,605","14,179",-6.70%,2005
Slovakia,"218,349",0,"218,349",-2.30%,2005
Slovenia,"138,393","39,558","177,951",35.20%,2005
South Africa,"324,875","200,352","525,227",15.30%,2005
South Korea,"3,357,094","342,256","3,699,350",6.60%,2005
Spain,"2,098,168","654,332","2,752,500",-8.60%,2005
Sweden,"288,659","50,570","339,229",-0.30%,2005
Taiwan,"323,819","122,526","446,345",3.60%,2005
Thailand,"277,562","845,150","1,122,712",21.00%,2005
Turkey,"453,663","425,789","879,452",6.80%,2005
Ukraine,"196,722","19,037","215,759",15.40%,2005
UK,"1,596,356","206,753","1,803,109",-2.90%,2005
USA,"4,321,272","7,625,381","11,946,653",-0.40%,2005
Uzbekistan,"87,512","8,302","95,814",18.70%,2005
Others,"372,593","122,898","495,491",59.30%,2005
Argentina,"171,400","89,002","260,402",53.90%,2004
Australia,"337,510","73,896","411,406",-0.40%,2004
Austria,"227,244","21,474","248,718",78.10%,2004
Belgium,"857,119","43,154","900,273",-0.50%,2004
Brazil,"1,862,780","454,447","2,317,227",26.80%,2004
Canada,"1,335,516","1,376,020","2,711,536",6.20%,2004
China,"2,480,231","2,754,265","5,234,496",17.80%,2004
Czech Rep.,"443,065","5,295","448,360",1.50%,2004
Egypt,"34,591","14,744","49,335",-1.40%,2004
Finland,"10,051",459,"10,510",-46.50%,2004
France,"3,227,416","438,574","3,665,990",1.30%,2004
Germany,"5,192,101","377,853","5,569,954",1.10%,2004
Hungary,"118,590","4,076","122,666",-2.70%,2004
India,"1,178,354","332,803","1,511,157",30.10%,2004
Indonesia,"262,752","145,559","408,311",26.80%,2004
Iran,"707,773","80,885","788,658",35.50%,2004
Italy,"833,578","308,527","1,142,105",-13.60%,2004
Japan,"8,720,385","1,791,133","10,511,518",2.20%,2004
Malaysia,"364,852","107,123","471,975",37.10%,2004
Mexico,"903,313","673,846","1,577,159",0.10%,2004
Netherlands,"187,600","59,903","247,503",15.00%,2004
Poland,"523,000","78,000","601,000",86.60%,2004
Portugal,"150,781","75,947","226,728",-5.30%,2004
Romania,"98,997","23,188","122,185",28.30%,2004
Russia,"1,110,079","276,048","1,386,127",8.40%,2004
Serbia,"13,266","1,928","15,194",9.30%,2004
Slovakia,"223,542",0,"223,542",-20.50%,2004
Slovenia,"116,609","15,037","131,646",11.40%,2004
South Africa,"300,963","154,739","455,702",8.20%,2004
South Korea,"3,122,600","346,864","3,469,464",9.20%,2004
Spain,"2,402,501","609,673","3,012,174",-0.60%,2004
Sweden,"290,383","49,887","340,270",5.30%,2004
Taiwan,"299,639","131,175","430,814",11.40%,2004
Thailand,"299,439","628,542","927,981",25.10%,2004
Turkey,"447,152","376,256","823,408",54.40%,2004
Ukraine,"179,098","7,792","186,890",73.20%,2004
UK,"1,647,246","209,293","1,856,539",0.50%,2004
USA,"4,229,625","7,759,762","11,989,387",-1.00%,2004
Uzbekistan,"66,896","13,833","80,729",73.70%,2004
Others,"226,533","84,517","311,050",47.20%,2004
Argentina,"109,364","59,812","169,176",6.10%,2003
Australia,"365,611","47,650","413,261",20.20%,2003
Austria,"118,650","21,006","139,656",-8.50%,2003
Belgium,"791,703","112,680","909,383",-14.50%,2003
Brazil,"1,505,139","322,652","1,827,791",2.00%,2003
Canada,"1,340,175","1,212,687","2,552,862",-2.90%,2003
China,"2,018,875","2,424,811","4,443,686",35.20%,2003
Czech Rep.,"436,279","5,420","441,699",-1.20%,2003
Egypt,"32,581","17,431","50,012",10.70%,2003
Finland,"19,226",432,"19,658",-52.60%,2003
France,"3,220,329","399,737","3,620,066",0.50%,2003
Germany,"5,145,403","361,226","5,506,629",0.70%,2003
Hungary,"122,338","3,778","126,116",-10.90%,2003
India,"907,968","253,555","1,161,523",29.80%,2003
Indonesia,"203,196","118,848","322,044",7.60%,2003
Iran,"516,930","65,169","582,099",28.80%,2003
Italy,"1,026,454","295,177","1,321,631",-7.40%,2003
Japan,"8,478,328","1,807,890","10,286,218",0.30%,2003
Malaysia,"324,911","19,373","344,284",-12.90%,2003
Mexico,"774,048","801,399","1,575,447",-12.70%,2003
Netherlands,"163,080","52,201","215,281",-6.90%,2003
Poland,"306,847","15,214","322,061",3.50%,2003
Portugal,"165,576","73,785","239,361",-4.60%,2003
Romania,"75,706","19,541","95,247",19.90%,2003
Russia,"1,010,436","268,356","1,278,792",4.80%,2003
Serbia,"12,996",907,"13,903",16.10%,2003
Slovakia,"281,160",187,"281,347",24.60%,2003
Slovenia,"110,597","7,602","118,199",-6.70%,2003
South Africa,"291,249","130,086","421,335",4.20%,2003
South Korea,"2,767,716","410,154","3,177,870",1.00%,2003
Spain,"2,399,374","630,452","3,029,826",6.10%,2003
Sweden,"280,394","42,638","323,032",17.00%,2003
Taiwan,"264,837","121,849","386,686",15.90%,2003
Thailand,"251,691","490,371","742,062",26.90%,2003
Turkey,"294,116","239,238","533,354",53.90%,2003
Ukraine,"103,000","4,890","107,890",100.60%,2003
UK,"1,657,558","188,871","1,846,429",1.30%,2003
USA,"4,510,469","7,604,502","12,114,971",-1.30%,2003
Uzbekistan,"39,196","7,278","46,474",57.30%,2003
Others,"144,607","66,666","211,753",25.50%,2003
Argentina,"111,340","48,061","159,401",-32.30%,2002
Australia,"306,876","36,996","343,872",7.70%,2002
Austria,"132,768","19,851","152,619",-1.80%,2002
Belgium,"936,903","120,286","1,057,189",-11.00%,2002
Brazil,"1,520,285","271,245","1,791,530",-1.40%,2002
Canada,"1,369,042","1,260,395","2,629,437",3.80%,2002
China,"1,101,696","2,185,108","3,286,804",40.80%,2002
Czech Rep.,"441,312","5,776","447,088",-3.90%,2002
Egypt,"27,422","17,751","45,173",-19.50%,2002
Finland,"41,068",393,"41,461",-2.00%,2002
France,"3,292,797","309,073","3,601,870",-0.70%,2002
Germany,"5,123,238","346,071","5,469,309",-3.90%,2002
Hungary,"138,239","3,274","141,513",-1.90%,2002
India,"703,948","190,848","894,796",9.80%,2002
Indonesia,"193,492","105,765","299,257",7.20%,2002
Iran,"439,116","12,959","452,075",39.90%,2002
Italy,"1,125,769","301,312","1,427,081",-9.70%,2002
Japan,"8,618,354","1,638,961","10,257,315",4.90%,2002
Malaysia,"380,000","15,380","395,380",10.20%,2002
Mexico,"960,097","844,573","1,804,670",-2.00%,2002
Netherlands,"182,368","48,923","231,291",-3.20%,2002
Poland,"287,534","23,598","311,132",-10.60%,2002
Portugal,"182,573","68,259","250,832",4.60%,2002
Romania,"65,266","14,190","79,456",15.60%,2002
Russia,"980,061","239,689","1,219,750",-2.50%,2002
Serbia,"10,271","1,701","11,972",33.30%,2002
Slovakia,"225,442",276,"225,718",24.00%,2002
Slovenia,"126,661",0,"126,661",9.10%,2002
South Africa,"276,499","127,942","404,441",-0.60%,2002
South Korea,"2,651,273","496,311","3,147,584",6.80%,2002
Spain,"2,266,902","588,337","2,855,239",0.20%,2002
Sweden,"237,975","38,218","276,193",-4.50%,2002
Taiwan,"231,506","102,193","333,699",22.80%,2002
Thailand,"169,321","415,630","584,951",27.30%,2002
Turkey,"204,198","142,367","346,565",28.00%,2002
Ukraine,"50,393","3,380","53,773",69.00%,2002
UK,"1,629,934","193,084","1,823,018",8.20%,2002
USA,"5,018,777","7,260,805","12,279,582",7.50%,2002
Uzbekistan,"22,705","6,849","29,554",-27.90%,2002
Others,"119,255","49,106","168,361",-3.30%,2002
Argentina,"169,580","65,978","235,558",-30.60%,2001
Australia,"285,870","33,505","319,375",-8.00%,2001
Austria,"131,098","24,305","155,403",10.20%,2001
Belgium,"1,058,656","128,601","1,187,257",14.90%,2001
Brazil,"1,501,586","315,651","1,817,237",8.10%,2001
Canada,"1,274,853","1,257,889","2,532,742",-14.50%,2001
China,"703,521","1,630,919","2,334,440",12.80%,2001
Czech Rep.,"456,927","8,341","465,268",2.10%,2001
Egypt,"37,006","19,091","56,097",-6.10%,2001
Finland,"41,916",404,"42,320",8.70%,2001
France,"3,181,549","446,869","3,628,418",8.40%,2001
Germany,"5,301,189","390,488","5,691,677",3.00%,2001
Hungary,"140,401","3,912","144,313",5.00%,2001
India,"654,557","160,054","814,611",1.70%,2001
Indonesia,"32,237","246,950","279,187",-4.60%,2001
Iran,"316,334","6,882","323,216",16.30%,2001
Italy,"1,271,780","307,916","1,579,696",-9.10%,2001
Japan,"8,117,563","1,659,628","9,777,191",-3.60%,2001
Malaysia,"344,686","14,099","358,785",26.90%,2001
Mexico,"1,000,715","840,293","1,841,008",-4.90%,2001
Netherlands,"189,261","49,682","238,943",-10.60%,2001
Poland,"335,996","11,879","347,875",-31.10%,2001
Portugal,"177,357","62,362","239,719",-2.80%,2001
Romania,"56,774","11,987","68,761",-12.00%,2001
Russia,"1,021,682","229,000","1,250,682",3.70%,2001
Serbia,"7,489","1,490","8,979",-29.50%,2001
Slovakia,"181,644",359,"182,003",0.10%,2001
Slovenia,"116,082",0,"116,082",-5.60%,2001
South Africa,"270,538","136,498","407,036",13.90%,2001
South Korea,"2,471,444","474,885","2,946,329",-5.40%,2001
Spain,"2,211,172","638,716","2,849,888",-6.00%,2001
Sweden,"251,035","38,112","289,147",-4.00%,2001
Taiwan,"195,109","76,595","271,704",-27.10%,2001
Thailand,"156,066","303,352","459,418",11.60%,2001
Turkey,"175,343","95,342","270,685",-37.20%,2001
Ukraine,"24,995","6,829","31,824",1.80%,2001
UK,"1,492,365","192,873","1,685,238",-7.10%,2001
USA,"4,879,119","6,545,570","11,424,689",-10.70%,2001
Uzbekistan,"32,425","8,580","41,005",27.10%,2001
Others,"121,532","52,617","174,149",-8.70%,2001
Argentina,"238,921","100,711","339,632",11.40%,2000
Australia,"323,649","23,473","347,122",14.60%,2000
Austria,"115,979","25,047","141,026",1.20%,2000
Belgium,"912,233","121,061","1,033,294",1.60%,2000
Brazil,"1,351,998","329,519","1,681,517",24.50%,2000
Canada,"1,550,500","1,411,136","2,961,636",-3.20%,2000
China,"604,677","1,464,392","2,069,069",13.10%,2000
Czech Rep.,"428,224","27,268","455,492",21.10%,2000
Egypt,"39,616","20,149","59,765",-21.40%,2000
Finland,"38,468",458,"38,926",13.20%,2000
France,"2,879,810","468,551","3,348,361",5.30%,2000
Germany,"5,131,918","394,697","5,526,615",-2.80%,2000
Hungary,"134,029","3,369","137,398",7.20%,2000
India,"517,957","283,403","801,360",-2.10%,2000
Indonesia,"257,058","35,652","292,710",228.90%,2000
Iran,"274,985","3,000","277,985",132.80%,2000
Italy,"1,422,284","316,031","1,738,315",2.20%,2000
Japan,"8,359,434","1,781,362","10,140,796",2.50%,2000
Malaysia,"280,283","2,547","282,830",11.30%,2000
Mexico,"1,279,089","656,438","1,935,527",24.90%,2000
Netherlands,"215,085","52,234","267,319",-13.00%,2000
Poland,"481,689","23,283","504,972",-12.20%,2000
Portugal,"178,509","68,215","246,724",-2.20%,2000
Romania,"64,181","13,984","78,165",-26.90%,2000
Russia,"969,235","236,346","1,205,581",3.10%,2000
Serbia,"11,091","1,649","12,740",141.80%,2000
Slovakia,"181,333",450,"181,783",43.30%,2000
Slovenia,"122,949",0,"122,949",4.10%,2000
South Africa,"230,577","126,787","357,364",12.60%,2000
South Korea,"2,602,008","512,990","3,114,998",9.60%,2000
Spain,"2,366,359","666,515","3,032,874",6.30%,2000
Sweden,"259,959","41,384","301,343",20.20%,2000
Taiwan,"263,013","109,600","372,613",5.60%,2000
Thailand,"97,129","314,592","411,721",27.60%,2000
Turkey,"297,476","133,471","430,947",44.70%,2000
Ukraine,"18,124","13,131","31,255",63.00%,2000
UK,"1,641,452","172,442","1,813,894",-8.10%,2000
USA,"5,542,217","7,257,640","12,799,857",-1.70%,2000
Uzbekistan,"32,273",0,"32,273",-27.40%,2000
Others,"127,445","63,204","190,649",59.30%,2000
Argentina,"224,733","80,076","304,809",,1999
Australia,"281,417","21,508","302,925",,1999
Austria,"123,586","15,745","139,331",,1999
Belgium,"917,513","99,548","1,017,061",,1999
Brazil,"1,107,751","243,077","1,350,828",,1999
Canada,"1,626,316","1,432,497","3,058,813",,1999
China,"565,366","1,264,587","1,829,953",,1999
Czech Rep.,"348,482","27,779","376,261",,1999
Egypt,"45,416","30,632","76,048",,1999
Finland,"33,903",472,"34,375",,1999
France,"2,784,469","395,724","3,180,193",,1999
Germany,"5,309,524","378,168","5,687,692",,1999
Hungary,"125,889","2,297","128,186",,1999
India,"533,149","285,044","818,193",,1999
Indonesia,"76,715","12,292","89,007",,1999
Iran,"119,419",0,"119,419",,1999
Italy,"1,410,459","290,797","1,701,256",,1999
Japan,"8,100,169","1,795,307","9,895,476",,1999
Malaysia,"237,998","16,092","254,090",,1999
Mexico,"993,772","556,153","1,549,925",,1999
Netherlands,"262,242","44,978","307,220",,1999
Poland,"546,843","27,991","574,834",,1999
Portugal,"186,996","65,294","252,290",,1999
Romania,"88,313","18,584","106,897",,1999
Russia,"943,732","225,976","1,169,708",,1999
Serbia,"3,816","1,453","5,269",,1999
Slovakia,"126,503",328,"126,831",,1999
Slovenia,"118,132",0,"118,132",,1999
South Africa,"214,694","102,673","317,367",,1999
South Korea,"2,361,735","481,379","2,843,114",,1999
Spain,"2,281,617","570,772","2,852,389",,1999
Sweden,"213,895","36,847","250,742",,1999
Taiwan,"266,000","87,000","353,000",,1999
Thailand,"63,538","259,223","322,761",,1999
Turkey,"222,041","75,821","297,862",,1999
Ukraine,"10,136","9,044","19,180",,1999
UK,"1,786,624","186,895","1,973,519",,1999
USA,"5,637,949","7,387,029","13,024,978",,1999
Uzbekistan,"44,433",0,"44,433",,1999
Others,"86,849","32,801","119,650",,1999
,,,,,
,,,,,
,,,,,
